,nr,navn,etablert,type,komnr,plassering,miljo,kap,mh,midl,lengde,bredde,regine
51,10298,ÅLFORO V,1988.0,PERMANENT,1222,SJØ,SALTVANN,2340.0,TN,,59.866,5.245667,044.52
52,10300,HILLERSVIK,1973.0,PERMANENT,1216,SJØ,SALTVANN,2340.0,TN,,59.608265,5.313873,039.9
53,10303,NAPPEHOLMANE,1973.0,PERMANENT,1219,SJØ,SALTVANN,1560.0,TN,,59.742174,5.364286,043.20
54,10309,SYRTANGEN,2003.0,PERMANENT,1259,SJØ,SALTVANN,2340.0,TN,,60.469549,4.966306,058.3
55,10311,STORLIA,2004.0,PERMANENT,1413,SJØ,SALTVANN,2340.0,TN,,61.201822,5.169087,082.112
56,10318,GULESTØ,1977.0,PERMANENT,1438,SJØ,SALTVANN,3120.0,TN,,61.758806,5.063898,086.11
57,10324,GJERDEVIKSFLUA,1973.0,PERMANENT,1241,SJØ,SALTVANN,2340.0,TN,,60.224122,5.64343,055.21
58,10328,SAGVIK,1973.0,PERMANENT,1238,SJØ,SALTVANN,2340.0,TN,,60.142405,5.904051,053.42
59,10331,ÅKRE,1969.0,PERMANENT,1224,SJØ,SALTVANN,3120.0,TN,,60.110432,6.040595,053.3
60,10332,TROMMO,1969.0,PERMANENT,1224,SJØ,SALTVANN,3120.0,TN,,60.081646,6.077015,046.11
61,10338,DJUPEVIK,1979.0,PERMANENT,1238,SJØ,SALTVANN,1560.0,TN,,60.408178,6.352899,052.42
62,10375,NORD LEKSA,1973.0,PERMANENT,1622,SJØ,SALTVANN,5460.0,TN,,63.589183,9.408467,119.74
63,10398,SEISKJÆRA,1986.0,PERMANENT,1630,SJØ,SALTVANN,2340.0,TN,,64.090608,10.118458,136.21
64,10409,KJELNESET,1986.0,PERMANENT,1748,SJØ,SALTVANN,4680.0,TN,,64.643952,11.388328,140.61
65,10410,HINDHOLMEN,1984.0,PERMANENT,1751,SJØ,SALTVANN,975.0,TN,,64.773933,11.44087,142.8
66,10417,STORBUKTA,1977.0,PERMANENT,1751,SJØ,SALTVANN,1560.0,TN,,64.958995,11.611913,143.553
67,10421,STORVIKBUKTA,1981.0,PERMANENT,1751,SJØ,SALTVANN,1560.0,TN,,64.929912,11.911647,142.72
68,10425,HEGGVIKA,1982.0,PERMANENT,1811,SJØ,SALTVANN,3520.0,TN,,65.129856,12.07766,144.1
69,10447,MEFALDSKJÆRET,1985.0,PERMANENT,1820,SJØ,SALTVANN,4680.0,TN,,65.850233,12.283156,150.2
70,25235,HUMULEN,1984.0,MIDLERTIDIG,1750,SJØ,SALTVANN,4680.0,TN,2008-06-30,64.946068,11.370513,143.25
71,12265,GUDMUNDSET,1974.0,PERMANENT,1529,SJØ,SALTVANN,942.5,TN,2008-07-03,62.454385,6.600168,101.310
72,12872,KATTHOLMEN,1973.0,PERMANENT,1505,SJØ,SALTVANN,1722.5,TN,2008-07-03,63.054233,7.696495,110.14
73,19875,OR,1973.0,PERMANENT,1505,SJØ,SALTVANN,942.5,TN,2008-07-03,63.042092,7.849293,110.130
74,11928,LANGAVIKA,1986.0,PERMANENT,1133,SJØ,SALTVANN,3120.0,TN,2008-12-31,59.233599,6.008291,034.1
75,11405,INNERBROKLØYSA,1986.0,MIDLERTIDIG,1870,SJØ,SALTVANN,3120.0,TN,2009-06-30,68.628364,15.47949,178.45
76,13047,VÅTVIKA,1984.0,MIDLERTIDIG,1865,SJØ,SALTVANN,3120.0,TN,2009-06-30,68.228026,14.806731,179.24
77,13124,STORSTROMPAN,1977.0,MIDLERTIDIG,1836,SJØ,SALTVANN,3120.0,TN,2009-06-30,66.544616,13.414987,159.31
78,13293,MOLGAVLEN,1984.0,MIDLERTIDIG,1865,SJØ,SALTVANN,3120.0,TN,2009-06-30,68.304366,14.946673,179.24
79,13317,LILLE KVALFJORD,1997.0,PERMANENT,2012,SJØ,SALTVANN,1800.0,TN,2009-07-31,70.299366,22.921965,214.1
80,14019,ØKSNINGEN,1982.0,MIDLERTIDIG,1811,SJØ,SALTVANN,3520.0,TN,2009-09-01,65.131436,12.305688,144.93
81,13886,HALLARØY V,1984.0,MIDLERTIDIG,1620,SJØ,SALTVANN,2340.0,TN,2009-10-31,63.995332,9.123163,118.3
82,15375,SØRØYFLESA,1986.0,MIDLERTIDIG,1620,SJØ,SALTVANN,1560.0,TN,2009-10-31,63.98347,9.056627,118.3
83,12077,TVEITNESVIK,1973.0,MIDLERTIDIG,1224,SJØ,SALTVANN,3120.0,TN,2009-12-31,60.106153,6.20495,046.220
84,13852,GJERMUNDNES,1986.0,PERMANENT,1535,SJØ,SALTVANN,3120.0,TN,2009-12-31,62.628406,7.189154,102.710
85,13249,SAGELVA,1973.0,PERMANENT,1520,SJØ,SALTVANN,2340.0,TN,2010-01-01,62.338233,6.379683,097.111
86,11116,LANGHOLMEN,1987.0,PERMANENT,1838,SJØ,SALTVANN,780.0,TN,2010-07-31,67.05639,14.022987,160.73
87,12839,VINDSNES,1988.0,PERMANENT,1524,SJØ,SALTVANN,2340.0,TN,2010-08-12,62.284967,7.279567,099.3
88,13669,FURNESET,2001.0,PERMANENT,1535,SJØ,SALTVANN,3120.0,TN,2010-09-30,62.646031,7.09637,102.51
89,10505,DRAGNES,1981.0,MIDLERTIDIG,1866,SJØ,SALTVANN,3900.0,TN,2010-12-31,68.585735,14.703036,184.11
90,11112,KJERKVIKA,2008.0,MIDLERTIDIG,1838,SJØ,SALTVANN,2700.0,TN,2010-12-31,67.109222,14.265525,161.6
91,11318,HALLVARDØY,1986.0,MIDLERTIDIG,1851,SJØ,SALTVANN,3900.0,TN,2010-12-31,68.374921,15.320955,177.91
92,11433,FINNVIKA SØR,1983.0,PERMANENT,1931,SJØ,SALTVANN,1800.0,TN,,69.500491,17.922916,194.2
93,11435,BRYGGELANDSHOLMANE,2003.0,PERMANENT,1106,SJØ,SALTVANN,780.0,TN,,59.431449,5.094213,039.80
94,11488,BRATTAVIKA,1988.0,PERMANENT,1244,SJØ,SALTVANN,3120.0,TN,,60.046054,5.302133,054.2
95,11492,STOREVIKHOLMEN S,1988.0,MIDLERTIDIG,1222,SJØ,SALTVANN,3120.0,TN,,59.8383,5.305455,044.4
96,11511,HATTASTEINEN,1964.0,PERMANENT,1219,SJØ,SALTVANN,1560.0,TN,,59.62567,5.249129,043.20
97,11513,ANDAL,1973.0,PERMANENT,1219,SJØ,SALTVANN,1560.0,TN,,59.636321,5.244388,043.20
98,11530,GISSØYSUNDET S,1964.0,PERMANENT,1219,SJØ,SALTVANN,1560.0,TN,,59.633065,5.163096,043.3
99,11533,USHOLMSVIKA,1986.0,PERMANENT,1245,SJØ,SALTVANN,780.0,TN,,60.174868,5.092773,057.20
100,11534,KLUNGSHOLMEN,1973.0,PERMANENT,1219,SJØ,SALTVANN,780.0,TN,,59.597019,5.160117,043.3
101,11543,BUHOLMEN Ø,1979.0,PERMANENT,1244,SJØ,SALTVANN,2340.0,TN,,60.02157,5.076781,054.3
102,11552,STUHOLMEN,1986.0,PERMANENT,1245,SJØ,SALTVANN,780.0,TN,,60.25152,4.980531,057.20
103,11559,GRIMSHOLMEN,1973.0,PERMANENT,1216,SJØ,SALTVANN,3120.0,TN,,59.65744,5.404387,039.9
104,11571,HOLEVIK,1973.0,PERMANENT,1219,SJØ,SALTVANN,2340.0,TN,,59.777233,5.322328,043.1
105,11574,BREIVIK S,1973.0,PERMANENT,1219,SJØ,SALTVANN,3120.0,TN,,59.672457,5.312878,043.20
106,11575,KOLØY N,1986.0,PERMANENT,1222,SJØ,SALTVANN,2340.0,TN,,59.861167,5.2887,044.51
107,11605,SOLØY Ø,1974.0,PERMANENT,1222,SJØ,SALTVANN,1560.0,TN,,59.907207,5.159308,043.1
108,11611,NAVEIDE,1978.0,PERMANENT,1244,SJØ,SALTVANN,3120.0,TN,,60.139067,5.112783,054.1
109,11633,KROSSHOLMEN,1973.0,PERMANENT,1219,SJØ,SALTVANN,2340.0,TN,,59.789439,5.100541,043.4
110,11640,SKORPEOSEN,1974.0,PERMANENT,1246,SJØ,SALTVANN,3120.0,TN,,60.331305,4.943511,057.20
111,11643,HATLEM Ø,2004.0,PERMANENT,1413,SJØ,SALTVANN,2340.0,TN,,61.202729,5.265851,082.120
112,11644,DUESUND,2000.0,PERMANENT,1266,SJØ,SALTVANN,780.0,TN,,60.809918,5.297036,067.61
113,11649,STOLANE,1987.0,PERMANENT,1260,SJØ,SALTVANN,3120.0,TN,,60.606447,5.126585,066.4
114,11651,RAMSØY S,1987.0,PERMANENT,1247,SJØ,SALTVANN,3120.0,TN,,60.434083,5.062733,059.4
115,11652,KJEPPEVIKHOLMEN,1973.0,PERMANENT,1256,SJØ,SALTVANN,2340.0,TN,,60.5436,5.037384,059.21
116,11657,GRÅVIKA,1989.0,PERMANENT,1411,SJØ,SALTVANN,2340.0,TN,,60.86142,4.9335,068.4
117,11665,JIBBERSHOLMANE,1963.0,PERMANENT,1260,SJØ,SALTVANN,1560.0,TN,,60.750209,4.883309,066.50
118,11667,GARDSKRÅNESET,1977.0,PERMANENT,1259,SJØ,SALTVANN,2340.0,TN,,60.539423,4.899201,058.2
119,11687,RAMSVIK,1973.0,PERMANENT,1263,SJØ,SALTVANN,2080.0,TN,,60.578492,5.190777,066.4
120,11689,KJERRINGNESET,1973.0,PERMANENT,1411,SJØ,SALTVANN,1560.0,TN,,60.957112,5.098758,068.50
121,11690,GRASHOLMEN,1973.0,PERMANENT,1260,SJØ,SALTVANN,3120.0,TN,,60.595749,5.160771,066.4
122,11700,STORENESET,1973.0,PERMANENT,1411,SJØ,SALTVANN,3120.0,TN,,60.876533,5.026383,068.2
